0,1,2
,"include dairy products, fish, cruciferous vegetables and foods fortified with calcium.",
,Calcium is best absorbed from dairy products. The average daily intake in Finland,
,"of calcium is 1,182 milligrams for men and 984 mg for women.",
,"Clinical signs of calcium deficiency include osteopenia, osteoporosis and fractures.",
,A  diet  low  in  dairy  products  and  an  insufficient  intake  of  vitamin  D  increase  the,
,"risk of calcium deficiency. The risk groups for calcium deficiency include children,",
,"adolescents, young adults and menopausal women.",
,"The body’s calcium content is strictly regulated, and no reliable biomarker exists to",
,measure the calcium status. The average requirement and recommended intake are,
,based on balance studies as well as epidemiological and clinical studies on the role of,
,calcium in maintaining healthy bones. The recommended intake is 950 milligrams,
per day for women and men.,,
Iron,,
,"Iron binds oxygen to haemoglobin in red blood cells, which transports oxygen from the",
,"lungs to the tissues. Iron is also present in muscle myoglobin, which transports, stores",
,"and releases oxygen in the muscles. Sources of iron include meat and liver, whole grain",
,"cereal products and legumes. Animal-derived heme iron is well absorbed, while plant-",
,"derived non-heme iron is less readily absorbed. Vitamin C, proteins from meat, poultry",
,"and  fish,  as  well  as  organic  acids  contribute  to  the  absorption  of  non-heme  iron.  By",
,"contrast, polyphenols in tea, coffee, cocoa, wine and soy, phytate in cereals and calcium",
,in dairy products reduce its absorption. The average iron intake is 10 milligrams per day,
,in Finnish women and 11 milligrams per day in men.,
,"Iron  deficiency  is  common.  In  particular,  infants,  young  children,  women  of",
,"childbearing age, pregnant women and those who follow a diet with little or no heme iron",
,are at risk of iron deficiency. Iron deficiency causes iron deficiency anaemia. Its symptoms,
,"include fatigue, paleness, headache, increased heart rate and shortness of breath.",
,The  recommended  intake  of  iron  is  based  on  factor  calculations  of  the  balance  of,
,absorbed  and  excreted  iron.  Absorption  is  enhanced  when  iron  stores  are  reduced.,
,"Understanding the iron status of the body requires the measurement of several biomarkers,",
,"including haemoglobin (B-Hb), serum ferritin (S-Ferritin), serum iron concentration",
,"(S-Fe), degree of transferrin saturation (P-TfFeSat) and transferrin receptor (S-TfR), and",
,"considering the inflammatory state of the body. For women, the recommended intake",
,"of iron is 15 milligrams per day from puberty to menopause, 8 milligrams per day after",
,"the end of menstruation, and 7 milligrams per day after the age of 70 years. For men,",
,the recommended intake of iron is 9 milligrams per day.,
Iodine,,
,Iodine is an essential constituent of the thyroid hormones thyroxine and triiodothyronine.,
,"Among other functions, these hormones are needed for growth and the development",
,and functioning of the nervous system and cognitive functions. Good sources of iodine,
,"include fish, dairy products, iodised plant drinks, eggs and iodised salt.",
SUSTAINABLE HEALTH FROM FOOD,38,THL  •  DIRECTIONS 15  •  2024
