0,1,2,3,4
Appendix 14b. Criteria for potato and cereal side dishes in food service,,,,
Side dish type,Fat g,Nutrient content per 100 g Saturated fat g,Salt g,Fibre (of dry weight) g
Pasta,–*,Up to 0.7,Up to 0.3,At least 6
"Barley groats,",–,Up to 0.7,Up to 0.3,At least 6
"cereals, cereal",,,,
and vegetable,,,,
mixes etc.,,,,
Wholegrain,–,Up to 0.7,Up to 0.3,At least 3
"rice, rice and",,,,
vegetable mix,,,,
Boiled potatoes,No added fat,–,No added salt,–
Other potato,–,Up to 0.7,Up to,–
side dishes,,,0.3**–0.5,
(e.g. mashed,,,,
"potatoes,",,,,
wedged,,,,
"potatoes,",,,,
potato and,,,,
vegetable mix),,,,
