0,1,2
,"The intake of vitamin D, both via synthesis in the skin and from food, is assessed",
,"by  the  concentration  of  the  vitamin  D  metabolite,  25(OH)D,  in  the  serum.  The",
,"recommended  intake  of  vitamin  D  is  based  on  its  skeletal  effects,  and  a  serum",
,concentration  of  50  nmol/l  is  considered  adequate  for  health.  The  recommended,
,intake of vitamin D from the age of two weeks is 10 micrograms per day. For older,
,"people (≥ 75 years), 20 micrograms of vitamin D per day are recommended. The",
,recommendations for dietary supplements is provided in Table 5.,
Vitamin E,,
,The  main  function  of  vitamin  E  is  to  act  as  an  antioxidant.  Its  sources  include,
,"vegetable oils and spreads made of them, nuts, seeds and egg yolks. In Finland, the",
,daily intake of vitamin E is 10.2 milligrams alpha-tocopherol equivalent (alpha-TE),
,for women and 11.8 milligrams alpha-TE for men.,
,Vitamin  E  deficiency  is  rare  and  often  caused  by  long-term  fat  malabsorption,
,due to genetic factors. The sufficient intake of vitamin E has been determined by,
,considering the recommended intake of polyunsaturated fatty acids (5 to 10 E%).,
,The sufficient intake of vitamin E is 9 to 10 milligrams alpha-TE per day for women,
,and 11 milligrams alpha-TE per day for men. The vitamin E status can be measured,
,by determining the plasma or serum alpha-tocopherol concentration.,
Vitamin C,,
,"Vitamin C functions as an antioxidant in the body. It is needed in collagen synthesis,",
,"for  example,  which  affects  the  structures  of  cartilages,  tendons,  blood  vessels  and",
,"skin.  In  addition,  it  promotes  the  absorption  of  non-heme  iron.  The  best  dietary",
,"sources of vitamin C are fresh fruits, berries and vegetables. Potatoes also contain",
,some  vitamin  C.  The  average  daily  intake  of  vitamin  C  is  111  milligrams  and  98,
,milligrams in Finnish women and men respectively.,
,"Individuals with low consumption of vegetables, berries and fruits, as well as smokers",
,"who have an elevated need for vitamin C, are at risk of an insufficient vitamin C intake.",
,The  vitamin  C  status  of  the  body  can  be  measured  by  determining  the  plasma,
,ascorbate concentration. The average adult requirement is defined so that the plasma,
,ascorbate concentration reaches 50 μmol/l. The recommended daily intake of vitamin,
,C is 95 milligrams for women and 110 milligrams for men. Since smoking accelerates,
,"the use of vitamin C in the body, smokers’ need for vitamin C is 40 milligrams per",
day higher than that of non-smokers.,,
Folate,,
,"Folate  is  needed  in  the  body  in  the  synthesis  of  nucleic  acids  (DNA,  RNA),  for",
,example. Folate is also involved in the conversion of homocysteine to amino acid,
SUSTAINABLE HEALTH FROM FOOD,36,THL  •  DIRECTIONS 15  •  2024
