0,1
Appendix 16. Expert consultations on the national recommendations,
Expert,Organisation
Katja Borodulin,Age Institute
Mikael Fogelholm,University of Helsinki
Mikaela Grotenfelt-Enegren,Finnish Institute for Health and Welfare (THL)
Arja Heinonen,Finnish Food Authority
Juha Helenius,University of Helsinki
Janne Huovila,Finnish Cancer Society
Miika Ilomäki,National Emergency Supply Agency
Piia Jallinoja,University of Tampere
Tarja Kaipainen,Association of Clinical and Public Health Nutritionists in Finland (RTY)
Anna Kara,Finnish Heart Association
Virpi Kemi,Professional kitchen experts’ association
Seppo Knuuttila,Finnish Environment Institute (Syke)
Hanna Konttinen,University of Helsinki
Kaisa Kukkonen,Finnish Food Authority
Matti Kummu,Aalto University
Anne-Maria Pajari,University of Helsinki
Päivi Palojoki,University of Helsinki
Timo Partonen,Finnish Institute for Health and Welfare (THL)
Kirsi Pietiläinen,HUS
Eeva Rantala,Finnish Institute for Health and Welfare (THL)
Heli Reinivuo,Finnish Institute for Health and Welfare (THL)
Anu Ruusunen,University of Eastern Finland
Maija Soljanlahti,John Nurminen Foundation
Johanna Suomi,Finnish Food Authority
Tanja Talvenheimo,National Emergency Supply Agency
Anna-Maria Teeriniemi,Kainuu wellbeing services county
Tanja Tilles-Tirkkonen,City of Kuopio
Hanna Tuomisto,University of Helsinki
Minna Vanhala,Kotitalousopettajien liitto ry
Silja Varjonen,Finnish Society for Food Education Ruukku
Henna Vepsäläinen,University of Helsinki
Auli Väänänen,Ministry of Agriculture and Forestry
Kati Kuisma,Finnish Heart Association
