0,1
Preface,
The  aim  of  the  nutrition  recommendations,is  to  promote  public  health.  The
"recommendations  are  widely  used  in  healthcare,  food  service  meal  planning,  food",
"product development, communications and as core material for nutrition education.",
They  also  play  an  important  role  in  assessing  the  food  consumption  and  nutrient,
intakes of different population groups. Nutrition recommendations are only effective,
if they are adopted and applied in practice extensively.,
"Finnish food habits have improved in recent decades, but the challenges that remain",
are excessive salt and saturated fat intakes and insufficient fibre intake. More plant-,
"based diets, i.e. an increase in the proportion of whole grains, vegetables, berries, fruits",
"and legumes in the diet, would promote both human health and environmental well-",
"being. In addition, diets should prefer sources of unsaturated fat such as vegetable oils,",
"fish and nuts, and limit the use of salt. The food environment has a significant impact",
on food choices. The supply of easily consumed and energy-rich foods has increased,
while  meal  and  package  sizes  have  also  grown.  A  central  objective  of  the  nutrition,
recommendations is to increase the supply and availability of health-promoting foods,
to all population groups.,
Nordic  cooperation  has  a  long  tradition,in  the  development  of  nutrition
recommen dations.  The  new  national  nutrition  recommendations  are  based  on,
"the  Nordic  Nutrition  Recommendations  published  in  summer  2023,  which  were",
created  by  systematically  reviewing  the  latest  research  evidence.  All  quantitative,
recommendations  are  based  on  consistent  research  evidence  on  the  relationship,
between  nutrition  and  health.  Another  central  objective  of  both  the  Nordic  and,
"national nutrition recommendations is to promote planetary health, i.e. the mutually",
supportive well-being and health of people and the rest of nature.,
"More comprehensively than before, the recommendations pay attention to not only",
the health impacts of food but also the environmental impacts of food production and,
consumption. The preparation of the national food-based dietary guidelines considered,
up-to-date information about Finnish food consumption and nutrient intake in both,
"adults and under school-age children. Based on this data, modelling calculations were",
"performed, which were used to determine the adequacy of nutrient intake in different",
population  groups  and  the  difference  in  environmental  impacts  when  switching  to,
"plant-based  diets  in  accordance  with  the  dietary  guidelines.  In  particular,  Finnish",
research  evidence  was  used  in  the  environmental  impact  assessment.  Some  themes,
"related to the sustainability of food production, including animal welfare and the ethics",
"of food production, were excluded from the recommendations.",
