0,1,2,3,4,5,6,7,8
Appendix 10b. Recommended or adequate intakes* of vitamins by age,,,,,,,,
group,,,,,,,,
Age group,Vitamin B12 µg*,Folate µg,Thiamine mg/MJ,Ribo- flavin mg,Niasiini NE/MJ3,Vitamin B6 mg,Panto thenic acid mg*,Biotin µg*
≤ 6 months1,0.4,64,,0.3,,0.1,2,4
7–11 months,1.5,90,0.1,0.4,1.6,0.4,3,5
1–3 years,1.5,120,0.1,0.6,1.6,0.6,4,20
4–6 years,1.7,140,0.1,0.7,1.6,0.7,4,25
7–10 years,2.5,200,0.1,1.0,1.6,1.0,4,25
Women,,,,,,,,
11–14 years,3.5,280,0.1,1.4,1.6,1.3,5,35
15–17 years,4,310,0.1,1.6,1.6,1.5,5,35
18–24 years,4,3302,0.1,1.6,1.6,1.6,5,40
25–50 years,4,3302,0.1,1.6,1.6,1.6,5,40
51–70 years,4,330,0.1,1.6,1.6,1.6,5,40
> 70 years,4,330,0.1,1.6,1.6,1.6,5,40
Pregnant,4.5,600,0.1,1.9,1.6,1.9,5,40
women,,,,,,,,
Lactating,5.5,490,0.1,2.0,1.6,1.7,7,45
women,,,,,,,,
Men,,,,,,,,
11–14 years,3,260,0.1,1.3,1.6,1.5,5,35
15–17 years,4,320,0.1,1.6,1.6,1.8,5,35
18–24 years,4,330,0.1,1.6,1.6,1.8,5,40
25–50 years,4,330,0.1,1.6,1.6,1.8,5,40
51–70 years,4,330,0.1,1.6,1.6,1.8,5,40
> 70 years,4,330,0.1,1.6,1.6,1.7,5,40
