0,1,2
Vitamin or mineral,"UL per day, adults","UL per day, children1"
Selenium,255 µg,4–6 months • 45 µg
,,7–11 months • 55 µg
,,1–3 years • 70 µg
,,4–6 years • 95 µg
,,7–10 years • 130 µg
,,11–14 years • 180 µg
,,15–17 years • 230 µg
Magnesium3,250 mg,1–3 years (no data)
,,others: 250 mg
Phosphorus,"3,000 mg",–
Iodine,600 µg,1–3 years • 200 µg
,,4–6 years • 250 µg
,,7–10 years • 300 µg
,,11–14 years • 450 µg
,,15–17 years • 500 µg
Fluoride,7 mg,"1–3 years • 1,5 mg"
,,"4–8 years • 2,5 mg"
,,9–14 years • 5 mg
,,15–17 years • 7 mg
Copper,5 mg,1–3 years • 1 mg
,,4–6 years • 2 mg
,,7–10 years • 3 mg
,,11–14 years • 4 mg
,,15–17 years • 4 mg
Manganese,8 mg,4–12 months • 2 mg
,,1–2 years • 4 mg
,,3–6 years • 5 mg
,,7–13 years • 6 mg
,,14–17 years • 7 mg
Molybdenum,0.6 mg,1–3 years • 0.1 mg
,,4–6 years • 0.2 mg
,,7–10 years • 0.25 mg
,,11–14 years • 0.4 mg
,,15–17 years • 0.5 mg
Boron,10 mg,1–3 years • 3 mg
,,4–6 years • 4 mg
,,7–10 years • 5 mg
,,11–14 years • 7 mg
,,15–17 years • 9 mg
