0,1
"the  prevention  of  non-communicable  diseases,  nor  have  they  been  found  to  have",
"any  other  beneficial  health  effects.  Conversely,  higher  than  recommended  intakes",
"of certain nutrients, in particular vitamins and antioxidants (e.g. vitamins C and E,",
"β-carotene),  from  dietary  supplements  may  have  adverse  health  effects,  including",
"premature mortality. Dietary supplements are not intended to replace a varied diet,",
and research suggest that supplementing a diet that deviates from the recommended,
diet with dietary supplements is not beneficial.,
,Recommendations for the use of dietary supplements have been issued for some
age groups and life situations. Vitamin D supplementation is recommended for the,
following groups:,
•,children from 2 weeks to 18 years
