0,1,2
Appendix 12. Tolerable upper intake level (UL) of vitamins and minerals in,,
adults and children,,
Vitamin or mineral,"UL per day, adults","UL per day, children1"
Vitamin A2,"3,000 µg","1–3 years • 800 µg 4–6 years • 1,100 µg 7–10 years • 1,500 µg 11–14 years • 2,000 µg 15–17 years • 2,600 µg"
Vitamin D,100 µg,0–6 months • 25 µg 7–11 months • 35 µg 1–10 years • 50 µg 11–17 years • 100 µg
Vitamin E,300 mg,1–3 years • 100 mg 4–6 years • 120 mg 7–10 years • 160 mg 11–14 years • 220 mg 15–17 years • 260 mg
Folic acid,"1,000 µg",4–11 months • 200 µg 1–3 years • 200 µg 4–6 years • 300 µg 7–10 years • 400 µg 11–14 years • 600 µg 15–17 years • 800 µg
Niacin,,1–3 years • 150 mg
nicotinamide,900 mg,4–6 years • 220 mg 7–10 years • 350 mg 11–14 years • 500 mg 15–17 years • 700 mg
nicotinic acid,10 mg,1–3 years • 2 mg 4–6 years • 3 mg 7–10 years • 4 mg 11–14 years • 6 mg 15–17 years • 8 mg
Vitamin B6,12 mg,4–6 months • 2.2 mg 7–11 months • 2.5 mg 1–3 years • 3.2 mg 4–6 years • 4.5 mg 7–10 years • 6.1 mg 11–14 years • 8.6 mg 15–17 years • 10.7 mg
Calcium,"2,500 mg",–
Iron,60 mg,–
Zinc,25 mg,1–3 years • 7 mg 4–6 years • 10 mg 7–10 years • 13 mg 11–14 years • 18 mg 15–17 years • 22 mg
