0,1,2
Poultry,,
,"Definition: Poultry mainly refers to chicken, turkey and duck. Processed poultry meat",
,"means sausages, and meat and sausage cold cuts.",
,"Nutrient content and consumption: Poultry not only provides high-quality protein,",
,iron and several B vitamins but also has a more beneficial fatty acid composition than,
,red meat. Processed poultry is a significant source of salt. The consumption of poultry,
,has increased in recent decades and is the main reason for the increase in total meat,
,"consumption. The average weekly consumption of unprocessed, cooked poultry meat",
,is 210 grams for men and 170 grams for women.,
,Health effects: There is no evidence of beneficial or harmful effects of poultry on,
,"the risk of chronic diseases. Processed meat, including processed poultry, is a risk",
factor for colorectal cancer.,,
,Environmental  impact:  An  ecologically  sustainable  diet  can  contain  a  moderate,
,"amount of poultry. Due to the high consumption volume, poultry is one of the most",
,biodiversity-destroying foods in the Finnish diet. The soy feed used in poultry meat,
,"production weakens biodiversity at the global level, as the cultivation of soybean for",
,"feed is accompanied by land use changes, meaning that new areas are introduced for",
,cultivation in warm and species-rich areas that are particularly favourable to soybean,
,cultivation. Finnish poultry production mainly uses certified soy that does not come,
,"from  new  farming  areas.  However,  the  use  of  certified  soy  also  increases  the  total",
,demand for soy on the world market and thus contributes to the introduction of new,
,"farming  areas.  It  is  difficult  to  replace  soy  in  poultry  feed,  but  the  Finnish  poultry",
,industry is actively looking for and developing alternatives to it. The climate impact of,
,poultry is significantly lower than that of beef. A third of the climate impact of Finnish,
poultry is caused by soy feed.,,
SUSTAINABLE HEALTH FROM FOOD,54,THL  •  DIRECTIONS 15  •  2024
