0,1,2,3,4
Appendix 11c. Average requirements for minerals by age group,,,,
Age group,Calcium,Iron,Zinc2,Copper
,mg,mg,mg,µg
≤ 6 kk1,96,,,160
7–11 months,2503,8,2.5,180
1–3 years,400,6,3.8,260
4–6 years,700,5,4.8,300
7–10 years,675,7,6.4,440
Women,,,,
11–14 years,980,10,9,600
15–17 years,980,9,10.2,680
18–24 years,870,9,8.1,700
25–50 years,750,9,8.1,700
51–70 years,750,6,7.9,700
> 70 years,750,6,7.7,700
Pregnant,800,20,9.4,800
women,,,,
Lactating,800,9,10.5,1 000
women,,,,
Men,,,,
11–14 years,980,9,9.2,570
15–17 years,980,9,11.7,700
18–24 years,870,7,10.6,700
25–50 years,750,7,10.6,700
51–70 years,750,7,10.4,700
> 70 years,750,7,10.1,700
