0,1
Appendix 15. Experts involved in theme groups and modelling,
Expert,Organisation
Iris Erlund,Finnish Institute for Health and Welfare (THL)
Riitta Freese,University of Helsinki
Kristiina Janhonen,Finnish Institute for Health and Welfare (THL)
Niina Kaartinen*,Finnish Institute for Health and Welfare (THL)
Sanna Kiuru,Finnish Food Authority
Liisa Korkalo,University of Helsinki
Heli Kuusipalo,Finnish Institute for Health and Welfare (THL)
Venla Kyttä,Natural Resources Institute Finland (Luke)
Elina Leinonen,Finnish Food Authority
Taru Lindblom,University of Helsinki
Päivi Mäki,Finnish Institute for Health and Welfare (THL)
Sari Niinistö,Finnish Institute for Health and Welfare (THL)
Henna Peltonen,University of Helsinki
Oona Pietiläinen,Natural Resources Institute Finland (Luke)
Susanna Raulio*,Finnish Institute for Health and Welfare (THL)
Elina Särmälä,Saimaan tukipalvelut Oy
Sanna Talvia,University of Helsinki
Heli Tapanainen,Finnish Institute for Health and Welfare (THL)
