0,1,2
Glossary,,
Added sugar,,
,Sugar added to food and food products at home or in the food industry or used as such.,
,"Contains sucrose, fructose, glucose, and starch sweeteners (e.g. glucose syrup, glucose-",
,fructose syrups). Added sugar is included in free sugar. The sugars naturally present in,
,"vegetables, berries, and fruits eaten as such and used in cooking are not considered",
added sugar.,,
Climate impact,,
,"The climate load caused by a products, services, operations, operator or an economic",
,"sector, for example. Climate impact assessment is based on the amount of greenhouse",
,gases released from operations. The climate impact is also often referred to as the,
carbon footprint.,,
Eating behaviour,,
,"The motives, choices, actions and practices related to food and eating.",
Emotional eating,,
,"The use of food to regulate mood and emotions, not for the body’s nutritional needs.",
Energy density,,
,"The energy content of a food product, food or diet per weight unit. Energy density (kJ/g",
,"or kcal/g) depends on the composition of the food product, food, or diet. Water and fibre",
,"reduce energy density. Energy density is usually high when the food product, food or",
,diet is high in fat and/or free sugar and low in dietary fibre.,
E% = energy percentage,,
,The percentage of energy derived in the body from energy-yielding nutrients and other,
,energy-yielding dietary substances as a proportion of total energy intake.,
Eutrophication,,
,An  increase  in  primary  production  due  to  excessive  nutrient  loads  (nitrogen  and,
phosphorus).,,
Food-based dietary guidelines,,
,Research-based recommendations for health-promoting food choices.,
Food education,,
,Guidance and educational activities that aim to develop the capacity of individuals,
,"and communities to make health-promoting, sustainable and culturally diverse food",
choices.,,
Food environment,,
,"Physical,  economic,  political,  and  sociocultural  environments,  opportunities,  and",
,conditions that influence people’s food choices and nutritional status.,
SUSTAINABLE HEALTH FROM FOOD,8,THL  •  DIRECTIONS 15  •  2024
