0,1
Local food,
Food produced and processed using ingredients derived from the local region and,
"marketed and consumed in the region, promoting the local economy, employment and",
food culture of the region.,
Metabolic food waste,
The  amount  of  food  exceeding  the  nutritional  need  and  the,impact  of  this
overconsumption on the environment. Metabolic food waste is expressed in terms,
"of overconsumption of food (kg) and the environmental impacts it causes, including",
"carbon, water and land-use footprints.",
Nutrient density,
"The  amount  of  nutrients  in  a  food  product  or  diet  per  energy  unit,  which  can  be",
"expressed as mg/MJ or mg/1,000 kcal, for example.",
Nutrition recommendations,
"Research-based, population-level guidelines that includes nutrient intake recommen-",
dations  (dietary  refence  values)  and  recommendations  for  health-promoting  food,
choices (food-based dietary guidelines).,
Nutritional security,
"Nutritionally adequate, suitable and safe nutrition for each population group. Nutritional",
security is one dimension of food security. Nutritional security is realised when a person,
gets the nutrients they need at different stages of life in sufficient and safe quantities.,
Poultry meat,
"Poultry refers to birds that are reared for consumption and mainly means chicken,",
turkey and duck meat.,
Primary production,
Activities that produce food ingredients for direct consumption or further processing.,
"Primary food production includes rearing, cultivation, harvesting and all stages of",
animal production before slaughter.,
Processed meat,
"A meat product made by smoking, salting or adding nitrite to improve flavor or shelf",
"life. Processed meat includes products such as sausages, frankfurters, hams, cold cuts,",
salamis and bacon. The ingredient used can be red meat or poultry meat.,
Red meat,
"The meat and organs of cattle, pig, sheep, horse, goat, deer, reindeer and elk. The",
"recommendation for the consumption of red meat applies to beef, pork and lamb, as",
most research evidence is available for their health and environmental effects.,
