0,1,2,3,4
,RECOMMENDATION,,,
,• A minimum of 25 grams of vegetable oils should be used daily to ensure,,,
,an adequate alpha-linolenic acid intake*.,,,
,"• The use of butter and tropical oils should be limited, and preference",,,
,should be given to vegetable oil based spreads with at least 60% fat and,,,
,high in unsaturated fatty acids.,,,
,*  An adult with an average daily energy intake of 10 MJ should get at least 1.3 grams,,,
,"of  alpha-linolenic  acid  per  day.  Alpha-linolenic  acid  is  present  in  rapeseed,  linseed, camelina, soya, hemp seed, wheat germ and walnut oils.",,,
oil  6 g,margarine  10 g,,salad dressing  2 x tbl,liquid vegetable oil product 7 g
,Picture 5. Examples of servings containing five to six grams of fat. The spoons have serving,,,
,"sizes for oil, 60% margarine, salad dressing and a liquid vegetable oil product.",,,
THL  •  DIRECTIONS 15  •  2024,,59,,SUSTAINABLE HEALTH FROM FOOD
