0,1,2
Food serving,,
,Food choices that meet the recommendations and portion sizes that follow the plate,
,model can be promoted through the layout and labelling (e.g. the Heart Symbol) used,
,"in serving counters. In serving counters, the recommended options should be placed",
,in such a way that it is easy to select them. An image of a model portion or equivalent,
,should  be  placed  in  a  visible  place  in  the  restaurant.  Serving  counters  should  be,
,"arranged so that vegetables and salads are served at the beginning of the counter,",
,"followed  by  warm  main  dishes  with  vegetarian  food  first,  and  then  by  beverages",
,"and breads, unless there is a separate table for serving breads. By offering a varied",
,"selection and serving different components of the salad separately, including berries",
,"and fruits, the use of vegetables can be increased. In providing meeting catering and",
,"snacks, the availability of plant-based options that promote health and comply with",
,recommendations should also be ensured. People can also be encouraged to select,
,vegetarian food by offering it at a cheaper price at lunch.,
,Food service and food product procurement,
,Food services are either produced by operators themselves or purchased as a service.,
,Sustainable public food services support security of supply and self-sufficiency (see,
,the chapter ‘Food security and nutrition health for all’). Procurement legislation sets,
,"requirements  for  competitive  tendering,  but  the  Public  Procurement  Act  does  not",
,define the quality requirements for food service procurements. In terms of nutritional,
,"quality,  the  nutrition  and  food-based  dietary  guidelines  of  the  National  Nutrition",
,Council are used in competitive tendering. Food service professionals and tenderers,
,"have  the  joint  task  of  defining  quality  criteria,  the  most  important  of  which  is  the",
,nutritional quality of food and food products. Nutritional quality requirements are set,
,for products by using meal component-specific requirements (Appendices 13a to c) or,
,the approval standards for the Heart Symbol products. The provision of plant-based,
,food and the responsible procurement of ingredients should be added as criteria for,
competitive tendering in public food services.,,
,"With the help of competitive tendering, food service providers can be required to",
,provide information about the environmental impacts of their purchases and identify,
,operators who are able to provide responsibly produced food. The requirements of a,
,"health-promoting diet and factors related to responsibility (including environmental,",
,"social,  economic  and  ethical  values)  presented  in  the  nutrition  recommendations",
,must  be  used  as  procurement  criteria  for  public  food  services  and  food  products.,
,It  is  important  to  record  compliance  with  the  nutrition  recommendations  in  food,
,production to food service agreements. Service agreements and descriptions should,
,"include criteria for the nutritional quality and responsibility of meals, as well as related",
,evaluation and monitoring criteria and the agreed reporting activities. A collection of,
,responsibility requirements to support procurements can be found in the Criteria Bank,
(www.kriteeripankki.fi/en).,,
SUSTAINABLE HEALTH FROM FOOD,84,THL  •  DIRECTIONS 15  •  2024
