0,1,2
Table 3. Recommended dietary changes to promote health.,,
Increase,Replace,Reduce
Vegetables,Low-fibre cereals,Processed meat
,→  whole grain products,
Berries and fruits,Butter and spreads containing,Red meat
,"butter  → vegetable oils,",
,vegetable oil based spreads,
Legumes,Fatty milk products,"Foods high in added fat, salt"
,→ low-fat and fat-free milk,and sugar
,products,
Potatoes,"Foods high in added fat, salt",Salt
,and sugar,
,→ foods and food products,
,"low in added fat, salt and",
,sugar,
