0,1,2
Table 5. Recommended use of dietary supplements.,,
Dietary supplement,Recommended for,Often necessary
Vitamin D,Infants from 2 weeks of age:,If dairy products or fat spreads
,2–10 μg per day depending,fortified with vitamin D are
,on the amount of infant,"not used daily, and/or fish 2–3"
,formula or follow-on formula,"times a week, a 10 μg vitamin D"
,used.,supplement is recommended for
,One-year-olds: 10 μg per day;,18–74-year-olds in October–March.
,2–17-year-olds: 7.5 μg per,
,day; all year round. Pregnant,People on a vegan diet
,and lactating women:,People spending very little time
,10 μg per day all year round.,"outdoors, those wearing skin-"
,≥ 75-year-olds: 10–20 μg per,"covering clothing, people with"
,day all year round.,dark skin.
,,Cortisone therapy
Calcium,,People on a vegan diet*
,,Cortisone therapy
,,Bariatric surgery patients
Iodine,,People on a vegan diet*
,,People using very little or no dairy
,,"products, fortified plant-based"
,,drinks and fish.
Iron,People with iron deficiency,"Pregnant women, women in"
,anaemia.,childbearing age with heavy
,,"menstruation, those donating"
,,blood.
Folate,Women who plan to get or,Women in childbearing age.
,are pregnant: 400 µg per day,
