0,1,2
Table 4. Recommended food choices.,,
Food group,Recommended intake,Things to note4
"Vegetables, berries,",At least 500–800 g per day,Variety; avoid products containing
fruits,,free sugar and salt.
,,"Of the recommended intake, half"
,,should be vegetables and root
,,"vegetables, half berries and fruits."
Legumes,1Indicative recommendation:,"Good nutrient content, a"
,50–100 g (cooked)2,recommended choice in terms
,,"of the environment, especially"
,,"to replace meat. Use dried,"
,,"minced, frozen, canned and as"
,,preparations.
Cereals and cereal,At least 90 g of whole grains,Preferring salt-free and low-salt
products,per day (dry weight)3,products. Low use of products
,,containing added fat and sugar.
Potatoes,1,A recommended choice in terms
,,of the climate. Avoid high-fat and
,,salty products.
Fats and oils,A minimum of  25 g of non-,Avoid butter and tropical
,tropical vegetable oils per,vegetable oils.
,day,
"Nuts, seeds",20–30 g per day,Recommendation given for nuts.
,,Research evidence is insufficient
,,"to recommend intake of seeds, but"
,,consumption is recommended.
,,Avoid products containing sugar
,,and salt.
Milk and dairy,350–500 g per day,Prefer fat-free and low-fat products
products,,that meet the Heart Symbol criteria.
,,The recommended intake
,,"depends on the intake of calcium,"
,,iodine and vitamin B12 from other sources. Avoid products that are
,,high in sugar and salt. Extensive
,,consumption is not recommended
,,in terms of the environment. Can
,,be partially replaced with plant-
,,based products fortified with
,,"calcium, vitamin D, iodine and"
,,vitamin B12.5
Fish and fish products,"300–450 g per week (cooked,",Favour sustainable fish stocks.
,"edible part), of which at least",
,200 g should be fatty fish,
Poultry meat,1,A lower consumption than at
,,present is recommended in terms
,,of the environment.
