0,1,2,3,4,5,6,7,8
Appendix 10d. Adequate intakes of minerals by age group,,,,,,,,
Age group,Phosphorus mg2,Potassium mg,Magne sium mg,Iodine µg,Selenium µg,Fluoride mg5,Manganese mg,Molybdenum µg
≤ 6 months1,,400,25,80–904,10,,12,
7–11 months,170,700,803,80–904,20,0.4,0.02– 0.56,10
1–3 years,250,850,170,100,20,0.7,0.5,15
4–6 years,440,"1,150",230,100,25,1.0,1.0,20
7–10 years,440,"1,800",230,100,40,1.5,1.5,30
Women,,,,,,,,
11–14 years,640,"2,400",250,120,60,2.3,2,50
15–17 years,640,"2,850",250,120,70,2.9,3,60
18–24 years,550,"3,500",300,150,75,3.2,3,65
25–50 years,520,"3,500",300,150,75,3.2,3,65
51–70 years,520,"3,500",300,150,75,3.1,3,65
> 70 years,520,"3,500",300,150,75,3.0,3,65
Pregnant,530,"3,500",300,200,90,3.1,3,70
women,,,,,,,,
Lactating,530,"3,500",300,200,85,3.1,3,65
women,,,,,,,,
Men,,,,,,,,
11–14 years,640,"2,550",300,130,65,2.4,2,45
15–17 years,640,"3,400",300,140,85,3.3,2.5,60
18–24 years,550,"3,500",350,150,90,3.8,3,65
25–50 years,520,"3,500",350,150,90,3.7,3,65
51–70 years,520,"3,500",350,150,90,3.7,3,65
> 70 years,520,"3,500",350,150,85,3.5,3,65
